Risk Title,Risk Statement/Description,Risk Level (Inherent),Primary Control Type,Primary Control Description,Secondary Control Type,Secondary Control Description
Vendor Financial Instability,Risk of key vendors experiencing financial difficulties that threaten their ability to deliver services.,Low,Detective,Utility consumption monitoring with benchmarking against federal energy efficiency targets and trending analysis.,Detective,"Vendor performance scorecards tracking delivery timeliness, quality, and responsiveness with quarterly reviews."
Vendor Financial Instability,Risk of key vendors experiencing financial difficulties that threaten their ability to deliver services.,Low,Corrective,Corrective maintenance priority system ensuring critical equipment failures are addressed within defined response times.,Preventive,Strategic sourcing initiatives establishing blanket purchase agreements for frequently needed materials and services.
Cross-System Data Mismatch,Risk of the same data element having different values across integrated systems due to sync failures.,Medium,Preventive,"Data sharing agreements template with mandatory security, use limitation, and disposition clauses.",Detective,Automated anomaly detection algorithms monitoring data streams for unexpected patterns or values.
Master Data Inconsistency,"Risk of conflicting versions of core reference data across systems, causing errors in reporting and analysis.",High,Detective,Annual data inventory review to verify classification levels and protection measures are appropriate.,Corrective,"Data correction procedures with audit trail documenting original values, corrections, and authorizing officials."
Occupational Health Exposure,Risk of employees being exposed to harmful substances during the course of their duties.,High,Detective,Occupational health monitoring program with periodic medical surveillance for employees with exposure risks.,Corrective,After-action reports for all security incidents with root cause analysis and preventive recommendations.
Energy Management Non-Compliance,Risk of failing to meet federal energy efficiency and sustainability mandates for agency facilities.,Medium,Corrective,Corrective maintenance priority system ensuring critical equipment failures are addressed within defined response times.,Preventive,Strategic sourcing initiatives establishing blanket purchase agreements for frequently needed materials and services.
Inspection Coverage Gap,Risk that insufficient inspection frequency allows non-compliant facilities to operate undetected.,Low,Corrective,Graduated enforcement response policy with escalating penalties for repeated violations and compliance milestones.,Corrective,Penalty policy ensuring consistent and proportionate enforcement responses across all regional offices.
Pesticide Misapplication,"Risk of pesticides being applied in ways inconsistent with label directions, harming non-target species.",Medium,Corrective,Graduated enforcement response policy with escalating penalties for repeated violations and compliance milestones.,Corrective,Penalty policy ensuring consistent and proportionate enforcement responses across all regional offices.
Resource Allocation Imbalance,"Risk of uneven distribution of resources across programs, leaving critical areas understaffed or underfunded.",High,Detective,Quarterly performance metric validation comparing reported results against source data and independent verification.,Detective,Data-driven decision dashboards providing leadership visibility into program performance across the agency.
Vendor Lock-In,"Risk of becoming dependent on a single vendor for critical services, limiting competition and negotiation leverage.",High,Preventive,"Mandatory small business subcontracting plans for contracts exceeding $750,000 with quarterly goal tracking.",Corrective,Termination procedures with documented settlement of costs and transition planning for replacement services.
Invoice Verification Failure,Risk of paying contractor invoices without adequate verification of work performed or deliverables received.,Medium,Preventive,Organizational conflict of interest clauses included in all advisory and assistance services contracts.,Preventive,Market research documentation demonstrating awareness of available sources and price reasonableness.
Improper Payment Processing,"Risk of payments being processed incorrectly, resulting in overpayments, underpayments, or duplicate payments.",Medium,Preventive,"Segregation of duties requiring dual authorization for all fund transfers exceeding $10,000 with documented approval chains.",Detective,Independent periodic testing of key financial controls by internal audit or quality assurance staff.
Shipping and Handling Damage,Risk of sensitive equipment or samples being damaged during transportation between facilities.,Medium,Preventive,Environmental management system certified to ISO 14001 for agency facility operations and waste management.,Corrective,Equipment lifecycle replacement planning ensuring timely modernization before failure and obsolescence.
Diversity Recruitment Shortfall,"Risk of failing to meet diversity and inclusion goals in recruitment, limiting workforce representation.",Critical,Preventive,Succession planning program identifying and developing candidates for all senior leadership positions.,Detective,Workplace climate assessments conducted by independent facilitators in offices with reported morale concerns.
COOP Activation Failure,Risk of Continuity of Operations Plan failing to maintain essential functions during a disruption.,Medium,Corrective,Workers compensation case management program ensuring injured employees receive proper medical care and return-to-work support.,Preventive,Threat assessment protocols for evaluating reported threats to facilities or personnel.
Congressional Mandate Non-Compliance,Risk of failing to comply with specific legislative mandates or reporting requirements imposed by Congress.,Medium,Detective,"Litigation tracking system monitoring case status, deadlines, and potential financial exposure across all active cases.",Preventive,Legal hold procedures preserving documents and electronic records when litigation is reasonably anticipated.
Critical Spare Parts Shortage,Risk of unavailability of replacement parts for specialized equipment causing extended downtime.,Low,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
Performance Period Lapse,"Risk of contracts expiring before renewal or replacement is secured, creating service gaps.",Critical,Preventive,"Mandatory small business subcontracting plans for contracts exceeding $750,000 with quarterly goal tracking.",Corrective,Termination procedures with documented settlement of costs and transition planning for replacement services.
Inadequate Disaster Recovery,Risk that IT disaster recovery plans are insufficient to restore operations within required timeframes.,High,Preventive,Endpoint detection and response agents deployed on all agency workstations and servers with centralized management.,Corrective,Security incident lessons learned reviews with system hardening updates based on identified attack vectors.
Pesticide Misapplication,"Risk of pesticides being applied in ways inconsistent with label directions, harming non-target species.",Medium,Detective,Satellite imagery analysis combined with field verification for detecting unauthorized discharges and land use changes.,,
Whistleblower Retaliation,"Risk of managers retaliating against employees who report wrongdoing, violating whistleblower protections.",High,Corrective,"Progressive discipline framework with documented counseling, warnings, and corrective action plans.",Corrective,Mediation services available for workplace conflicts before they escalate to formal complaints or grievances.
Administrative Appeal Backlog,Risk of a growing backlog of administrative appeals delaying resolution of enforcement cases.,Low,Preventive,Annual ethics training with financial disclosure review for all employees in covered positions.,Detective,Ethics hotline providing confidential reporting channel for suspected ethics violations.
Energy Management Non-Compliance,Risk of failing to meet federal energy efficiency and sustainability mandates for agency facilities.,Medium,Preventive,Emergency supply pre-positioning at regional locations to support continuity of operations activations.,Detective,Energy audit program identifying opportunities for cost savings and efficiency improvements in facility operations.
Waste Disposal Non-Compliance,Risk of agency-generated waste not being disposed of in accordance with applicable regulations.,High,Preventive,Emergency supply pre-positioning at regional locations to support continuity of operations activations.,Detective,Energy audit program identifying opportunities for cost savings and efficiency improvements in facility operations.
Regulatory Overlap Confusion,Risk of overlapping regulations across programs creating compliance burdens and enforcement inconsistencies.,High,Detective,"Litigation tracking system monitoring case status, deadlines, and potential financial exposure across all active cases.",Preventive,Legal hold procedures preserving documents and electronic records when litigation is reasonably anticipated.
Inventory Management Failure,Risk of inaccurate inventory records leading to stockouts of essential supplies or excess waste.,High,Preventive,Vendor diversification strategy maintaining multiple qualified suppliers for all critical materials and services.,Detective,Facility condition assessments identifying deferred maintenance priorities and estimated costs.
Single Audit Finding,Risk of significant findings in grant recipient single audits indicating systemic financial management issues.,Medium,Preventive,Subrecipient monitoring requirements included in grant agreements with pass-through entity responsibilities defined.,,
Mail Screening Failure,Risk of dangerous items entering facilities through mail or package delivery channels.,High,Preventive,"Emergency action plans with annual drills for fire, severe weather, active shooter, and chemical release scenarios.",Corrective,Medical emergency response capability with trained first responders and automated external defibrillators on site.
Congressional Mandate Non-Compliance,Risk of failing to comply with specific legislative mandates or reporting requirements imposed by Congress.,Medium,Preventive,Annual ethics training with financial disclosure review for all employees in covered positions.,Detective,Ethics hotline providing confidential reporting channel for suspected ethics violations.
Conflict of Interest,Risk of employees having undisclosed financial or personal interests that conflict with their official duties.,Medium,Preventive,Background investigation and credential verification process completed before onboarding new employees.,Preventive,"Onboarding program with structured orientation, required training completion tracking, and first-year check-ins."
Insufficient Competition,Risk of limited vendor competition resulting in higher costs and reduced quality of services.,High,Preventive,"Mandatory small business subcontracting plans for contracts exceeding $750,000 with quarterly goal tracking.",Corrective,Termination procedures with documented settlement of costs and transition planning for replacement services.
Phishing Attack,Risk of employees falling victim to fraudulent emails designed to steal credentials or install malware.,Low,Corrective,"Incident response plan with defined escalation procedures, communication protocols, and recovery time objectives.",Corrective,Forensic investigation capability for analyzing compromised systems and determining breach scope and impact.
Emergency Preparedness Gap,Risk of inadequate emergency response plans and drills leaving staff unprepared for emergencies.,Medium,Preventive,Controlled substance inventory management with dual-custody requirements and daily reconciliation.,Detective,Security audit program with periodic assessments of physical security measures and vulnerability identification.
Resource Allocation Imbalance,"Risk of uneven distribution of resources across programs, leaving critical areas understaffed or underfunded.",High,Preventive,Change control board process requiring documented justification and impact analysis for scope changes.,Corrective,Rapid improvement events targeting specific process bottlenecks with cross-functional team engagement.
Equipment Disposition Non-Compliance,Risk of grant recipients failing to properly account for or dispose of equipment purchased with grant funds.,High,Preventive,Subrecipient monitoring requirements included in grant agreements with pass-through entity responsibilities defined.,Preventive,"Equipment management clauses in grant agreements specifying tracking, use, and disposition requirements."
Budget Overrun,"Risk that program expenditures exceed the allocated budget, leading to funding shortfalls and operational disruptions.",High,Preventive,System-enforced spending limits on purchase cards with real-time transaction monitoring and blocked merchant categories.,Preventive,Mandatory training on financial management policies for all employees with fund management responsibilities.
Cost Share Non-Compliance,Risk of grant recipients failing to provide their required matching funds or cost share contributions.,Medium,Preventive,Automated grant closeout tracking system with escalating notifications for grants approaching end of performance period.,Preventive,Grant application technical review panels with standardized scoring criteria and conflict of interest screening.
Union Grievance Escalation,"Risk of unresolved employee grievances escalating to formal proceedings, consuming management resources.",Medium,Detective,Quarterly review of telework agreements and productivity metrics to ensure remote work effectiveness.,Detective,Periodic review of position descriptions to ensure they accurately reflect current duties and qualifications.
Chemical Spill Response Delay,"Risk of inadequate or delayed response to chemical spills, increasing environmental and health damage.",High,Corrective,Supplemental environmental project agreements requiring violators to fund environmental improvements in affected communities.,Preventive,Interagency coordination protocols with state environmental agencies for shared enforcement and compliance assistance.
Regulatory Overlap Confusion,Risk of overlapping regulations across programs creating compliance burdens and enforcement inconsistencies.,High,Preventive,Congressional correspondence tracking with assigned response deadlines and management review before submission.,Preventive,Tribal consultation protocols ensuring government-to-government engagement on regulatory actions affecting tribal interests.
Data Sharing Agreement Gap,"Risk of sharing data with external parties without proper agreements defining use, protection, and retention.",Low,Preventive,Automated PII scanning tools deployed on email systems and shared drives to detect and flag exposed PII.,Preventive,Data stewardship program assigning accountability for data quality to designated owners across the agency.
Procurement Card Misuse,Risk of government purchase cards being used for personal purchases or unauthorized transactions.,Critical,Preventive,Automated budget threshold monitoring with real-time alerts when spending reaches 80% and 95% of allocated amounts.,Corrective,Formal corrective action process for employees found to have violated financial management policies.
Enforcement Action Delay,"Risk of delayed enforcement actions against violators, reducing deterrent effect and prolonging environmental harm.",Low,Detective,Water quality monitoring network with automated sampling and laboratory analysis at key watershed points.,Detective,Environmental indicator tracking dashboards measuring progress toward national environmental and human health goals.
PII Exposure in Reports,Risk of personally identifiable information being inadvertently included in published reports or datasets.,High,Preventive,Records management training required for all employees with role-specific modules for records custodians.,Preventive,Section 508 compliance reviews ensuring published data and reports are accessible to individuals with disabilities.
Inspection Coverage Gap,Risk that insufficient inspection frequency allows non-compliant facilities to operate undetected.,Low,Detective,Satellite imagery analysis combined with field verification for detecting unauthorized discharges and land use changes.,Detective,Self-monitoring report verification through independent sampling and analysis at a statistical sample of facilities.
Procurement Card Misuse,Risk of government purchase cards being used for personal purchases or unauthorized transactions.,Critical,Preventive,Multi-level approval workflow for payment processing with system-enforced separation between requestor and approver.,Preventive,Vendor validation procedures verifying new vendor legitimacy before adding to the payment system.
Scope Management Failure,Risk of projects expanding beyond original scope without corresponding adjustments to resources and timelines.,Medium,Corrective,Corrective action plans developed for programs not meeting performance targets with milestone tracking.,Preventive,"Requirements management process ensuring changes are documented, evaluated, and approved before implementation."
Hiring Process Delay,"Risk of prolonged vacancy periods due to slow hiring processes, impacting program delivery capacity.",Medium,Preventive,Conflict of interest disclosure requirements for all employees with annual certification and review.,Detective,Exit interview program analyzing departure reasons to identify systemic retention issues.
Interagency Collaboration Breakdown,Risk of failed coordination with partner agencies undermining joint program objectives.,Medium,Detective,Annual program evaluation using logic models and outcome measurement frameworks to assess effectiveness.,Detective,Independent program reviews conducted by cross-functional teams assessing program health and risk exposure.
Asbestos and Lead Exposure,Risk of employee exposure to asbestos or lead-based paint in older agency-owned or leased facilities.,Medium,Detective,Occupational health monitoring program with periodic medical surveillance for employees with exposure risks.,Corrective,After-action reports for all security incidents with root cause analysis and preventive recommendations.
Legacy System Failure,"Risk of outdated technology systems failing due to lack of vendor support, patches, or compatible hardware.",Medium,Preventive,Network segmentation isolating sensitive systems and data from general-purpose network segments.,Detective,User behavior analytics establishing baselines and detecting anomalous access patterns or data exfiltration.
Imprest Fund Mismanagement,Risk of loss or misuse of petty cash or imprest funds maintained at field offices.,Medium,Preventive,Multi-level approval workflow for payment processing with system-enforced separation between requestor and approver.,Preventive,Vendor validation procedures verifying new vendor legitimacy before adding to the payment system.
COOP Activation Failure,Risk of Continuity of Operations Plan failing to maintain essential functions during a disruption.,Medium,Preventive,"Emergency action plans with annual drills for fire, severe weather, active shooter, and chemical release scenarios.",,
Conflict of Interest,Risk of employees having undisclosed financial or personal interests that conflict with their official duties.,Medium,Preventive,Conflict of interest disclosure requirements for all employees with annual certification and review.,Detective,Exit interview program analyzing departure reasons to identify systemic retention issues.
Contract Modification Abuse,Risk of excessive or unjustified contract modifications that significantly change the scope or cost.,Low,Preventive,Competition advocate review required for all sole-source justifications above the simplified acquisition threshold.,Preventive,Warranted contracting officer oversight ensuring only authorized individuals execute contract actions.
Conflict of Interest,Risk of employees having undisclosed financial or personal interests that conflict with their official duties.,Medium,Preventive,Structured hiring panels with standardized evaluation criteria and documented scoring to ensure consistent selection.,Corrective,Return-to-work program supporting employees transitioning back after extended leave or medical absence.
PFAS Contamination Spread,Risk of per- and polyfluoroalkyl substances spreading through groundwater to drinking water supplies.,High,Detective,"Annual compliance data analysis identifying trends, repeat violators, and sectors requiring increased oversight.",Corrective,Compliance schedule agreements providing regulated entities defined timelines to achieve full compliance.
Asbestos and Lead Exposure,Risk of employee exposure to asbestos or lead-based paint in older agency-owned or leased facilities.,Medium,Detective,Monthly safety inspection rounds identifying and documenting hazards with tracking of corrective action completion.,Preventive,Ergonomic assessment program providing workstation evaluations and equipment adjustments for at-risk employees.
Consent Decree Non-Compliance,Risk of failing to meet obligations specified in court-ordered consent decrees from settled cases.,Critical,Corrective,Post-decision review process analyzing outcomes of challenged enforcement actions to improve future case development.,Corrective,Regulatory amendment process for updating rules when implementation reveals unintended consequences.
Consent Decree Non-Compliance,Risk of failing to meet obligations specified in court-ordered consent decrees from settled cases.,Critical,Preventive,"Rulemaking checklist ensuring compliance with Administrative Procedure Act, Executive Orders, and OMB review requirements.",Corrective,Inspector General recommendation resolution process with assigned responsible offices and implementation timelines.
Asbestos and Lead Exposure,Risk of employee exposure to asbestos or lead-based paint in older agency-owned or leased facilities.,Medium,Preventive,"Physical access control systems with badge readers, visitor logs, and security personnel at all facility entry points.",Detective,Chemical hygiene plan compliance audits verifying laboratory safety practices and documentation.
Master Data Inconsistency,"Risk of conflicting versions of core reference data across systems, causing errors in reporting and analysis.",High,Preventive,Role-based data access controls with annual recertification of user permissions by data owners.,Corrective,Identity theft response procedures for individuals affected by agency data breaches.
Emission Standard Exceedance,"Risk that industrial facilities exceed established air emission limits, degrading air quality.",Medium,Preventive,Compliance assistance programs providing technical guidance and self-audit protocols to regulated facilities.,Preventive,Technical assistance workshops for small businesses and municipalities on meeting environmental requirements.
Knowledge Management Gap,Risk of institutional knowledge being lost when experienced staff depart without proper documentation.,Critical,Preventive,Change control board process requiring documented justification and impact analysis for scope changes.,Corrective,Rapid improvement events targeting specific process bottlenecks with cross-functional team engagement.
Budget Overrun,"Risk that program expenditures exceed the allocated budget, leading to funding shortfalls and operational disruptions.",High,Preventive,Automated budget threshold monitoring with real-time alerts when spending reaches 80% and 95% of allocated amounts.,Corrective,Formal corrective action process for employees found to have violated financial management policies.
Environmental Results Non-Achievement,Risk of grant-funded projects failing to achieve their stated environmental outcomes and deliverables.,Critical,Corrective,Grant recipient corrective action plans with milestone tracking for resolving compliance deficiencies.,Corrective,Voluntary cost disallowance process allowing recipients to return questioned costs before formal audit findings.
Indirect Cost Rate Dispute,Risk of disagreements over negotiated indirect cost rates leading to audit findings or payment delays.,Medium,Preventive,Automated grant closeout tracking system with escalating notifications for grants approaching end of performance period.,Preventive,Grant application technical review panels with standardized scoring criteria and conflict of interest screening.
Performance Report Falsification,Risk of grant recipients submitting inaccurate performance reports to continue receiving funding.,Low,Corrective,Fund recovery procedures for disallowed costs identified through audits or monitoring activities.,Corrective,Specific award conditions imposed on high-risk recipients requiring additional reporting and prior approvals.
Federal Advisory Committee Act Violation,Risk of non-compliance with FACA requirements in obtaining advice from external advisory groups.,Low,Preventive,Annual ethics training with financial disclosure review for all employees in covered positions.,Detective,Ethics hotline providing confidential reporting channel for suspected ethics violations.
Performance Period Lapse,"Risk of contracts expiring before renewal or replacement is secured, creating service gaps.",Critical,Detective,Data analytics applied to procurement data to identify patterns indicative of bid rigging or collusion.,Detective,Quarterly contract status reporting to management highlighting expiring contracts and renewal timelines.
Open Data Compliance Gap,Risk of failing to publish required datasets in accordance with open data mandates and policies.,Medium,Preventive,Records management training required for all employees with role-specific modules for records custodians.,Preventive,Section 508 compliance reviews ensuring published data and reports are accessible to individuals with disabilities.
Insider Threat - IT,Risk of authorized users intentionally or accidentally compromising IT systems or data integrity.,Low,Preventive,Multi-factor authentication required for all system access with role-based access control enforced at the application level.,Detective,Database activity monitoring logging all privileged user actions with automated alerts for suspicious queries.
Payroll Processing Errors,"Risk of incorrect salary calculations, missed deductions, or erroneous benefit payments to employees.",High,Preventive,Mandatory cost-benefit analysis and approval documentation required before committing funds to new obligations.,Detective,Automated exception reporting flagging transactions that deviate from established patterns or exceed threshold amounts.
Hiring Process Delay,"Risk of prolonged vacancy periods due to slow hiring processes, impacting program delivery capacity.",Medium,Corrective,"Progressive discipline framework with documented counseling, warnings, and corrective action plans.",Corrective,Mediation services available for workplace conflicts before they escalate to formal complaints or grievances.
Occupational Health Exposure,Risk of employees being exposed to harmful substances during the course of their duties.,High,Preventive,"Personal protective equipment program with hazard assessments, equipment provision, and fit testing.",Detective,Contractor safety performance tracking with stop-work authority for observed unsafe practices.
Workplace Harassment,Risk of harassment or hostile work environment claims disrupting operations and damaging agency reputation.,High,Preventive,Succession planning program identifying and developing candidates for all senior leadership positions.,Detective,Workplace climate assessments conducted by independent facilitators in offices with reported morale concerns.
Cross-Program Coordination Gap,Risk of insufficient coordination between related programs leading to duplicated efforts or conflicting activities.,Medium,Preventive,Earned value management system tracking schedule and cost performance indices for all major projects.,Detective,Customer satisfaction surveys measuring stakeholder perception of program quality and responsiveness.
Grant Closeout Delay,"Risk of grants not being closed out timely, leaving funds in limbo and complicating financial reporting.",Medium,Detective,Single audit review process tracking findings related to agency grants with resolution follow-up.,Detective,Comparison of grant-reported outcomes with independent environmental monitoring data for verification.
Property Accountability Failure,Risk of inability to account for government property assets due to poor tracking and documentation.,Medium,Corrective,Corrective maintenance priority system ensuring critical equipment failures are addressed within defined response times.,Preventive,Strategic sourcing initiatives establishing blanket purchase agreements for frequently needed materials and services.
Inventory Management Failure,Risk of inaccurate inventory records leading to stockouts of essential supplies or excess waste.,High,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
Succession Planning Failure,"Risk of inadequate planning for leadership transitions, creating management gaps during turnover.",Medium,Corrective,Employee assistance program providing confidential counseling and support services for workplace and personal issues.,Corrective,Reasonable accommodation process ensuring timely and effective responses to employee disability accommodation requests.
Facility Access Breach,Risk of unauthorized individuals gaining physical access to secure agency facilities or laboratories.,High,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Field Worker Safety,Risk of injuries to field staff conducting inspections or sampling at hazardous or remote sites.,Low,Preventive,"Personal protective equipment program with hazard assessments, equipment provision, and fit testing.",Detective,Contractor safety performance tracking with stop-work authority for observed unsafe practices.
Third-Party Software Vulnerability,Risk of security vulnerabilities in vendor-supplied software being exploited by threat actors.,Critical,Preventive,Multi-factor authentication required for all system access with role-based access control enforced at the application level.,Detective,Database activity monitoring logging all privileged user actions with automated alerts for suspicious queries.
Insufficient Access Controls,"Risk that user access permissions are overly broad, granting access beyond what is needed for job functions.",Medium,Detective,Security information and event management system aggregating logs from all systems for real-time threat analysis.,Preventive,Removable media controls blocking unauthorized USB devices and requiring encryption for approved devices.
Whistleblower Retaliation,"Risk of managers retaliating against employees who report wrongdoing, violating whistleblower protections.",High,Detective,Quarterly review of telework agreements and productivity metrics to ensure remote work effectiveness.,Detective,Periodic review of position descriptions to ensure they accurately reflect current duties and qualifications.
Environmental Results Non-Achievement,Risk of grant-funded projects failing to achieve their stated environmental outcomes and deliverables.,Critical,Preventive,"Grant terms and conditions clearly defining allowable costs, reporting requirements, and performance expectations.",Preventive,"New grant recipient orientation providing training on federal requirements, reporting, and financial management."
Lessons Learned Neglect,"Risk of failing to capture and apply lessons learned from past projects, repeating avoidable mistakes.",High,Detective,"Monthly program status reviews with executive dashboard reporting on milestones, risks, and resource utilization.",Corrective,Program restructuring procedures for consolidating or reorganizing programs that are not achieving intended results.
Whistleblower Retaliation,"Risk of managers retaliating against employees who report wrongdoing, violating whistleblower protections.",High,Preventive,Background investigation and credential verification process completed before onboarding new employees.,Preventive,"Onboarding program with structured orientation, required training completion tracking, and first-year check-ins."
Change Management Resistance,Risk of organizational resistance to new processes or systems undermining implementation success.,Low,Preventive,Risk register maintained for all programs with regular review and mitigation plan updates.,Corrective,Rebaselining procedures for programs with significant schedule or cost variances exceeding established thresholds.
Climate Adaptation Failure,Risk that agency programs fail to adequately account for climate change impacts in planning and operations.,High,Corrective,Graduated enforcement response policy with escalating penalties for repeated violations and compliance milestones.,Corrective,Penalty policy ensuring consistent and proportionate enforcement responses across all regional offices.
Air Monitoring Network Gap,Risk of insufficient air quality monitoring stations leading to undetected pollution in populated areas.,Medium,Detective,Continuous emission monitoring systems with automated reporting and threshold exceedance notifications.,Corrective,Emergency response cleanup coordination with responsible parties and federal on-scene coordinators.
Intellectual Property Dispute,Risk of disputes over ownership or use of intellectual property developed under agency contracts or grants.,High,Preventive,Anti-Deficiency Act training required for all fund certifying officials with annual certification.,Preventive,Delegation of authority register ensuring all regulatory and enforcement actions are taken by properly authorized officials.
Diversity Recruitment Shortfall,"Risk of failing to meet diversity and inclusion goals in recruitment, limiting workforce representation.",Critical,Detective,Annual employee engagement surveys with trend analysis to identify emerging workforce issues before they escalate.,Preventive,"Leadership development program building supervisory skills in communication, conflict resolution, and performance management."
Ergonomic Injury,Risk of musculoskeletal injuries from poor workstation setup or repetitive tasks in office environments.,Medium,Preventive,Controlled substance inventory management with dual-custody requirements and daily reconciliation.,Detective,Security audit program with periodic assessments of physical security measures and vulnerability identification.
Litigation Exposure,"Risk of the agency facing lawsuits from regulated entities, employees, or the public resulting in financial liability.",High,Preventive,Congressional correspondence tracking with assigned response deadlines and management review before submission.,Preventive,Tribal consultation protocols ensuring government-to-government engagement on regulatory actions affecting tribal interests.
Organizational Conflict of Interest,Risk of contractors having conflicting interests that could bias their work or recommendations.,High,Preventive,Organizational conflict of interest clauses included in all advisory and assistance services contracts.,Preventive,Market research documentation demonstrating awareness of available sources and price reasonableness.
System Downtime,"Risk of critical IT systems becoming unavailable, disrupting agency operations and service delivery.",High,Preventive,Automated patch management system ensuring critical security updates are applied within 48 hours of release.,Preventive,Change management process requiring security impact analysis before system modifications are deployed.
Grant Recipient Capacity Gap,Risk of awarding grants to organizations that lack the capacity to manage federal funds properly.,High,Preventive,"Pre-award risk assessment evaluating applicant financial management systems, past performance, and organizational capacity.",,
Contract Cost Overrun,Risk that contractor costs exceed negotiated contract amounts without proper justification or modification.,High,Detective,Quarterly internal audit sampling of financial transactions to identify anomalies and non-compliant payments.,Detective,Surprise cash counts and imprest fund audits conducted by supervisory staff at field locations.
Union Grievance Escalation,"Risk of unresolved employee grievances escalating to formal proceedings, consuming management resources.",Medium,Corrective,"Progressive discipline framework with documented counseling, warnings, and corrective action plans.",Corrective,Mediation services available for workplace conflicts before they escalate to formal complaints or grievances.
Mobile Device Security Gap,"Risk of data exposure through lost, stolen, or inadequately secured mobile devices used for agency business.",Medium,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Organizational Conflict of Interest,Risk of contractors having conflicting interests that could bias their work or recommendations.,High,Preventive,Procurement integrity briefings required for all evaluation panel members before accessing proposals.,Detective,Random sampling of micro-purchase transactions for compliance with simplified acquisition procedures.
Metadata Management Failure,"Risk of poor metadata practices making data difficult to discover, understand, or reuse across the agency.",Low,Preventive,Privacy impact assessments required before implementing new data collections or system changes involving PII.,Detective,Automated records retention monitoring with alerts for records approaching disposition dates.
Privacy Act Violation,Risk of unauthorized disclosure of personally identifiable information in violation of the Privacy Act.,Medium,Preventive,Automated PII scanning tools deployed on email systems and shared drives to detect and flag exposed PII.,Preventive,Data stewardship program assigning accountability for data quality to designated owners across the agency.
Quality Assurance Breakdown,Risk of inadequate quality checks allowing deficient work products to be accepted and used.,Low,Preventive,Risk register maintained for all programs with regular review and mitigation plan updates.,Corrective,Rebaselining procedures for programs with significant schedule or cost variances exceeding established thresholds.
Cost Share Non-Compliance,Risk of grant recipients failing to provide their required matching funds or cost share contributions.,Medium,Corrective,Fund recovery procedures for disallowed costs identified through audits or monitoring activities.,Corrective,Specific award conditions imposed on high-risk recipients requiring additional reporting and prior approvals.
Interagency Collaboration Breakdown,Risk of failed coordination with partner agencies undermining joint program objectives.,Medium,Preventive,Resource management planning tool projecting staffing needs across programs with gap analysis and mitigation.,,
Shadow IT Usage,Risk of employees using unauthorized software or cloud services that bypass security controls.,Medium,Preventive,Endpoint detection and response agents deployed on all agency workstations and servers with centralized management.,Corrective,Security incident lessons learned reviews with system hardening updates based on identified attack vectors.
Conflict of Interest,Risk of employees having undisclosed financial or personal interests that conflict with their official duties.,Medium,Detective,Annual employee engagement surveys with trend analysis to identify emerging workforce issues before they escalate.,,
Credential Verification Failure,Risk of hiring individuals with falsified credentials or incomplete background checks.,High,Preventive,Structured hiring panels with standardized evaluation criteria and documented scoring to ensure consistent selection.,Corrective,Return-to-work program supporting employees transitioning back after extended leave or medical absence.
Strategic Plan Misalignment,Risk of program activities not aligning with the agency's strategic plan goals and objectives.,Medium,Preventive,Resource management planning tool projecting staffing needs across programs with gap analysis and mitigation.,Detective,Benchmarking studies comparing program performance against peer agencies and industry best practices.
Unauthorized Commitment,Risk of employees making commitments or agreements with vendors without proper contracting authority.,High,Corrective,Contractor performance assessment reports documented in federal databases for use in future source selections.,Preventive,Pre-solicitation conferences ensuring prospective offerors understand requirements and evaluation criteria.
Intellectual Property Dispute,Risk of disputes over ownership or use of intellectual property developed under agency contracts or grants.,High,Preventive,"Legal sufficiency review required for all proposed enforcement actions, settlements, and regulatory interpretations.",Detective,"Compliance tracking database monitoring agency adherence to consent decrees, court orders, and settlement terms."
Small Business Goal Shortfall,Risk of not meeting mandated small business and disadvantaged business subcontracting targets.,Medium,Detective,Data analytics applied to procurement data to identify patterns indicative of bid rigging or collusion.,Detective,Quarterly contract status reporting to management highlighting expiring contracts and renewal timelines.
Debarment Process Failure,Risk of inadequate processes for suspending or debarring contractors with integrity issues.,High,Preventive,"Rulemaking checklist ensuring compliance with Administrative Procedure Act, Executive Orders, and OMB review requirements.",Corrective,Inspector General recommendation resolution process with assigned responsible offices and implementation timelines.
Equipment Disposition Non-Compliance,Risk of grant recipients failing to properly account for or dispose of equipment purchased with grant funds.,High,Detective,Quarterly financial and performance report review with desk audits and follow-up on identified discrepancies.,Corrective,Grant suspension and termination procedures for recipients with unresolved compliance deficiencies.
Performance Report Falsification,Risk of grant recipients submitting inaccurate performance reports to continue receiving funding.,Low,Preventive,Automated grant closeout tracking system with escalating notifications for grants approaching end of performance period.,Preventive,Grant application technical review panels with standardized scoring criteria and conflict of interest screening.
